"post_id","post","author"
"44","مجموعة المبتكر الصغير 200 جرام\nتركيب اشكال مختلفه وملونة لتنمية وتطوير قدرة اطفالنا على التفكير المنطقي وخلق روح الإبداع لديهم كما تساعد الطفل علي التركيز والابتكار والذكاء والترتيب المنطقي والتشكيل بالاشكال وتساعد الطفل علي التعرف علي الاشكال الهندسية والالوان وتنمي التازر الحركي البصري وتقوي عضلات اليد والاصابع وزيادة التحكم في العضلات والاعصاب كما تنمي مهارات الفك والتركيب وتنمي مهارة التطابق\n\nيمكن الجمع بين هذه الاشكال لتكوين الكثير من الاشكال ومعه رسومات ليقوم بتشكيلها\nبلاستيك امن جدا على الاطفال\nمناسب لسن 3 سنوات\nاشتري 6 أشكال مختلفه ب 108 جنيه\nأو 12 شكل مختلف ب 180 جنيه\n\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"45","ماسك القلم قطعة بلاستيكيه يتم تركيبها في القلم تساعد الطفل علي تهيئته للكتابة في سن صغير اذا كان الطفل خطه سيئ او لا يستطيع مسك القلم بطريقة صحيحه او عنده صعوبه في الكتابه ويقوي عضلاته الدقيقه\n\nمناسب للاطفال من سن سنتين\nاشتري الآن علبه 10 قطع ب 42 جنيه\nأو 20 قطعه ب 70 جنيه فقط\n\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"46","","الصفوة لتنمية المهارات"
"47","الان لعبة Fast Sling Puck\nالحجم الكبير 30 ×60\nلعبة تفاعليه جديدة ممتعة وشيقة تعتمد على السرعه و المهاره\nمسلية جدا ليك والعيلة كلها واتحدى بيها اصحابك وكن انت الفائز\nاللعبة مكونة من 10 قطع دائرية كل لاعب بيبقي معاه 5 قطع\nالمطلوب و على وجه السرعه إدخال ال 5 القطع التي معك إلى الجهه المقابله (جهة المنافس ) من خلال ضربها بالاستك\nالذي ينتهي من ادخال جميع القطع الي الجهه المقابله يكون هو الفائز\nاللعبة تناسب جميع الاعمار\nلمعرفة السعر للجمله و طلبات الشراء من خلال الرابط\nhttp://safwatoys.com/index.php…\nللتواصل واتس آب 01001444798","الصفوة لتنمية المهارات"
"48","تعتبر مكعبات الليغو من ألعاب الأطفال الأكثر شعبية على مر الزمن وذلك لأنها تعمل على تقوية مهارات الطفل المختلفة بشكل فعال. وهي مناسبة لكل الفئات العمرية\n\nلمشاهدة اكثر من 100 نوع من أنواع الليجو و لمعرفة السعر بعد خصم 30 % و الطلبات اضغط هنا\nhttp://safwatoys.com/index.php…\nللتواصل واتس آب 01001444798 ...\n\nContinue Reading","الصفوة لتنمية المهارات"
"49","تجبرنا الفترة الحالية على قضاء أوقات طويلة في المنزل مع العائلة أو مع الأصدقاء. وبعد فترة نشعر بالملل بالتأكيد ونحتاج لأفكار جديدة لتحسين المزاج. لذلك فكرة الألعاب الجماعية المنزلية أمر رائع ومُميز، إليكِ الكثير من الألعاب الجماعية التي ستُناسب مختلف الأعمار وستكون متنوعة أيضا\nالتي يُمكن مُشاركتها مع افراد العائلة، ويتطلب لعبها تعاون عدّة لاعبين معاً، وعندها يستفيد اللاعبون من مهارات بعضهم، ويجتهدون في تطوير وتنمية قدراتهم الشخصيّة، إضافةً للحماس والمتعة التي يُضفيها التعاون على اللعبة، والتي تتنوّع وتحتوي على أفكار جديدةٍ ومميّزة\n\nوالآن حان وقت اللعب...خصم 30 % علىى جميع الالعاب الجماعيه\nلزيارة الموقع الالكتروني للشركة ومشاهدة مزيد من المنتجات\nhttp://safwatoys.com/?tracking=5e9b451ff18bf\nللتواصل واتس اب 01001444798","الصفوة لتنمية المهارات"
"50","","الصفوة لتنمية المهارات"
"51","متوفر عرائس قفازيه فرو مستورد بسعر ٤٤ جنيه فقط بدلا من ٦٥ جنيه\n\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"52","لعبة تقطيع الفاكه أو الخضروات\n\n* لتشجيع الطفل على تقطيع الخضروات والفاكهه ثم جمعها معا مرة أخرى\n\n* تحفز على الإبداع وادراك الأشياء\n\n* والتمييز بين الالوان والخضروات والفاكهه\n\n* تطوير المهارات المعرفية والفك والتركيب والتطابق وبناء القدرات العقليه والتفاعل الاجتماعي\n\n* معرفه الطفل بأسماء الخضروات والفاكهه بطريقه ممتعه\n\n* تقوى من عضلات اليد للطفل كما انها تساعده على التحكم فى الاشياء\n\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"53","صندوق البوسطة مصري\nلعبة صندوق التصنيف الخشبية تحتوي علي 9 مساطر خشبية و 90 قطعة خشبية لتعليم الطفل تعبيرات الوجه وحيوانات الغابه وحيوانات المزرعة والخضراوات والفاكهه والكائنات البحرية والاشكال الهندسية ووسائل المواصلات والطيور عن طريق ان يقوم بمطابقة الكروت وتصنيفها حسب الصور المدونة علي المساطر\nينمي عند الطفل مهارة التصنيف والتطابق\nينمي عند الطفل قوة الملاحظة و التركيز و الانتباه\nينمي التازر البصري الحركي\nلعمر 3 سنوات","الصفوة لتنمية المهارات"
"54","لعبة الشرطة واللص\n\nلعبة فردية شيقة وممتعة\n\nتتكون من لوحة وقطع للعب وكتيب المستويات 120 مستوى لمختلف الاعمار من سن 6 سنوات\n\nطريقة اللعب : نقوم باختيار المستوى ونقوم بوضع البيوت وسيارة اللص ونبدا الحل بوضع قطع عربيات الشرطة بحيث تكون مغلقة كل الطرق على اللص\n\nيوجد طريقة حل واحدة لكل مستوى\n\nتعمل هذة اللعبة على تنمية مهارة حل المشكلات و مهارات التركيز ومهارة استخدام الحلول البديلة لتحفيز قوة التفكير المنطقي ومهاراتهم العقلية وقدراتهم التفكيرية لسهولة اللعب وكما ان لها دور ف التازر البصري الحركي والتركيز والانتباه\n\nلزيارة الموقع الإلكتروني www.safwatoys.com","الصفوة لتنمية المهارات"
"55","متوفر الان ماسك القلم\nكود W53-37\nبسعر 5 جنيه بدلا من 7 جنيه\nوخصم خاص للجمله والكميات\nللتواصل مع الشركة 0226786399\nاو واتس اب على 01001444798\nلزيارة الموقع الإلكتروني\nWww.safwatoys.com","الصفوة لتنمية المهارات"
"56","مجموعه كبيره من المجسات\nخضروات ,فاكهه , حيونات البفه , حيونات غابه , بحريه , حشرات ......\nمن شركة الصفوة لتنمية المهارات\nللتواصل 0226786399\nأو واتس آب 01001444798...\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"57","متوفر جميع انواع البازل قطعه , 2 قطعه , 3 قطعه .........\nبمقبض و بدون مقبض , تعليم الحروف و تعليم الارقام و المطابقه .......\nبخصم 30 %\nمن شركة الصفوة لتنمية المهارات\nللتواصل 0226786399\nأو واتس آب 01001444798\n\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"58","تشكيله كبيره جدا من الالعاب التعليميه\nتعليم الحروف والكلمات و الارقام والعمليات الحسابيه بخصم 30 %\nمن شركة الصفوة لتنمية المهارات\nللتواصل 0226786399\nأو واتس آب 01001444798\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"59","متوفر الان 160 منتج من مختلف من الاشغال اليدوية و التلوين و الكرافتس\nوجميع انواع الالوان وبخصم 30 %\nمن شركة الصفوة لتنمية المهارات\nللتواصل 0226786399\nأو واتس آب 01001444798\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"60","خصم 30 % من شركة الصفوة لتنمية المهارات على ركن العلوم\nمتوفر الان ميكرسكوب , تليسكوب , كارت مغناطيس , العاب الطقه الشمسيه , معمل الكيمياء , الدوائر الكهربيه ........\nللتواصل 0226786399\nأو واتس آب 01001444798\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"61","متوفر الان اكثر من 90 لعبة مختلفه من الالعاب الجماعبه المهارات بخصم 30 %\nمن شركة الصفوة لتنمية المهارات\nللتواصل 0226786399\nأو واتس آب 01001444798\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"62","اكبر تشكيله من العاب المطابقه و التصنيف من شركة الصفوة لتنمية المهارات\nللتواصل 0226786399\nأو واتس آب 01001444798\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"63","متوفر مجموعه كبيره من العاب الفك والتركيب\nالميكانو خشب وبلاستيك وتركيبات مغناطيسيه......... بخصم 30 %\nمن شركة الصفوة لتنمية المهارات\nللتواصل 0226786399\nأو واتس آب 01001444798\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"64","متوفر الان اكثر من 230 منتج مختلف من العاب تنميةة المهارات و العاب زيادة معدلات التركيز و الانتباه بخصم 30 %\nمن شركة الصفوة لتنمية المهارات\nللتواصل 0226786399\nأو واتس آب 01001444798\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"65","مجموعة كروت خورشيد للتخاطب و صعوبات التعلم\nمن شركة الصفوة لتنمية المهارات\nللتواصل 0226786399\nأو واتس آب 01001444798\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"66","مجموعة كروت ضمنيه صور حقيقية من شركة الصفوة لتنمية المهارات\nللتواصل 0226786399\nأو واتس آب 01001444798\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"67","خصم 30 % من شركة الصفوة لتنمية المهارات على ركن العلوم\nمتوفر الان ميكرسكوب , تليسكوب , كارت مغناطيس , العاب الطقه الشمسيه , معمل الكيمياء , الدوائر الكهربيه ........\nللتواصل 0226786399\nأو واتس آب 01001444798\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"68","متوفر الان اكثر من 230 منتج مختلف من العاب تنميةة المهارات و العاب زيادة معدلات التركيز و الانتباه بخصم 30 %\nمن شركة الصفوة لتنمية المهارات\nللتواصل 0226786399\nأو واتس آب 01001444798\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"69","مجموعة كروت ضمنيه صور حقيقية من شركة الصفوة لتنمية المهارات\nللتواصل 0226786399\nأو واتس آب 01001444798\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"70","متوفر الان اكثرمن 120 لعبة مختلفه من العاب البيبي بخصم 30%\nكتب قماش ,مكعبات سوفت , سجادة اصوات , العاب سوفت ..........\nجديد من شركة الصفوة لتنمية المهارات\nللتواصل 0226786399\nأو واتس آب 01001444798\n\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"71","جديد من شركة الصفوة لتنمية المهارات\nللتواصل 0226786399\nأو واتس آب 01001444798","الصفوة لتنمية المهارات"
"72","","الصفوة لتنمية المهارات"
"73","متوفر الان ماسك القلم\nكود W53-37\nبسعر 5 جنيه بدلا من 7 جنيه\nوخصم خاص للجمله والكميات\nللتواصل مع الشركة 0226786399\nاو واتس اب على 01001444798","الصفوة لتنمية المهارات"
"74","جديد من الصفوة لتنمية المهارات\nللتواصل مع الشركه 02-26786399\nأو على الوتس آب 01001444798\nللطلبات اون لاين مقر الشركة\nأو الموقع الالكتروني WWW.SAFWATOYS.COM","الصفوة لتنمية المهارات"
"75","جديد من الصفوة لتنمية المهارات\nللتواصل مع الشركه 02-26786399\nأو على الوتس آب 01001444798","الصفوة لتنمية المهارات"
"76","باقي ٤ ايام على انتهاء معرض الكتاب\nشكرا جزيلا لكل الي شرفنا بالجناح ونتمنى أن نكون عند حسن ظنكم\nونعتذر عن اي تقصير نظرا للإقبال التاريخي على المعرض\n\nو مازلنا في انتظار تشريفكم جناح الصفوة لتنمية المهارات\nبمعرض القاهرة الدولي للكتاب\nقاعة ٣ قاعة الطفل\nجناح D50\nللتواصل ٠١٠٠١٤٤٤٧٩٨\nعرض وخصم على جميع أدوات تنمية المهارات وكروت التخاطب والمجموعات الضمنية","الصفوة لتنمية المهارات"
"77","في انتظار تشريفكم جناح الصفوة لتنمية المهارات\nبمعرض القاهرة الدولي للكتاب\nقاعة ٣ قاعة الطفل\nجناح D50\nللتواصل ٠١٠٠١٤٤٤٧٩٨\nعرض وخصم على جميع أدوات تنمية المهارات وكروت التخاطب والمجموعات الضمنية","الصفوة لتنمية المهارات"
"78","","‎الصفوة لتنمية المهارات‎ was live."
"79","بداية معرض القاهرة الدولي للكتاب\nفي انتظار تشريفكم جناح الصفوة لتنمية المهارات رقم D-50 ب معرض القاهرة الدولى للكتاب قاعة ٣ ( قاعة الطفل )\nوخصم على جميع الأدوات و الوسائل التعليمية و العاب التفكير و الذكاء و أدوات مونتسوري والعاب تنمية المهارات والمجموعات الضمنية و كروت التخاطب","الصفوة لتنمية المهارات"
"80","","‎الصفوة لتنمية المهارات‎ updated their status."
"81","","‎الصفوة لتنمية المهارات‎ updated their status."
"82","تتوالى المنتجات الجديدة في الوصول\nجديد * جديد\nلمتابعة الموقع الإلكتروني www.safwatoys.com","الصفوة لتنمية المهارات"
"83","جديد × جديد\nمتوفر الآن بشركة الصفوة لتنمية المهارات\nلمشاهدة المنتجات وتحميل الكتالوج والأسعار\nWww.safwatoys.com\nأو 01001444798 واتس اب","الصفوة لتنمية المهارات"
"84","في انتظار تشريفكم جناح الصفوة لتنمية المهارات رقم D-50 ب معرض القاهرة الدولى للكتاب قاعة ٣ ( قاعة الطفل )\nوخصم على جميع الأدوات و الوسائل التعليمية و العاب التفكير و الذكاء و أدوات مونتسوري والعاب تنمية المهارات والمجموعات الضمنية و كروت التخاطب","‎الصفوة لتنمية المهارات‎ is with Elham Amer."
"85","قريبا وبخخصومات كبيره متوفر في الصفوة لتنمية المهارات\nللتواصل مع المبيعات واتس 01001444798\nالقلم الناطق عربي وانجليزي\nالتليسكوب\nتشريح العين\nتشرح الجمجه\nجسم الانسان\nتشريح القلب\nالهيكل العظمي\nجسم من الخارج للداخلل\nلعبة العقل الميكانيكي\nمكتبتي الاولى\nكتب الصور المخفيه\nمعمل الكيمياء\nمعمل الكيمياء الحديثه\nعالم الالكترونيات","الصفوة لتنمية المهارات"
"86","العاب الميكانو\n\n* محبب جدا للاطفال ويساعد في تعليم طفلك مبادئ الفك والتركيب حيث يستطيع تشكيل عده اشكال من قطع المكان\n\n* تننميه الابداع والتخيل من خلال تكوين الأشكال المختلفه\n\n* وتقويه عضلات الايد\n\n* تزيد الثقه بالنفس عندما يصل للنتيجه الصحيحه بعد التركيب\n\n* تكسب الأطفال التركيز والانتباه والإرادة وزيادة إدراكهم لمفاهيم الأشياء وطبيعة المواد، مما يساعدهم على حل المسائل الحياتية والمشكلات\n\n* غنية بالالوان مما يساعد الطفل في التعرف والتميز بين الالوان\n\nمن عمر 3 سنوات\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"87","كتاب بازل خشب\n\nمن افضل الالعاب التي تجذب الطفل\n\nتنمي مهاره الفك والتركيب\n\nتنسق بين اليد والعين من خلال التنسيق بين اجزاء البازل\n\nتنمي المهارات الذهنيه وتطور قدرته علي التخيل والتركيز والتفكير المنطقي وتنمي الذاكرة وتساعده علي الصبر والثقة بالنفس وحل المشكلات\n\nخامة : خشب تتحمل استخدام الطفل\nسن : 3 سنوات\n\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"88","حقيبه فوم للبنات بالوان جذابه واشكال جميله لحفظ ادواتها والخروج بها متاحة باشكال متعددة\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"89","لعبة صيد السمك\n\n* لابعاد الطفل عن الموبيل بطريقة غير مباشرة\n\n* تنمي الصبر عند الطفل ويساعد علي تحريك عضلات اليد مع حركة العين\n\n* تساعد الطفل علي التحكم والتركيز لالتقاط السمك\n\n* تعزز المهارات الاجتماعية عندما يلعبها الطفل مع الاخرين\n\n* تبث روح التعاون وتنمي العلاقة بينهم\n\n* تدخلهم اللعبه ف تجربه لفهم مفهوم الجاذبيه\n\n* تصلح لسن ثلاث سنوات\n\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"90","قطع صغيره بلاستيكيه يقوم بتركيبها لتكوين اشكال ثلاثيه الابعاد لتعليم طفلك مبادئ الفك والتركيب\n\nو لتنميه الابداع والتخيل والمغامرة وتقويه عضلات الايد\n\nمتوفرة باشكال مختلفه للبنات والاولاد محببة جدا لدي الاطفال\n\nتزيد الثقه بالنفس عندما يصل للنتيجه الصحيحه بعد التركيب\n\nيعود الطفل علي التفكير الثلاثي للابعاد ويعودهم علي اتباع التعليمات للوصول الي الحل\n\nو التنظيم و التخطيط الجيد و ينمي مهارات الحس حركية\n\nتكسب الأطفال التركيز والانتباه و الإرادة والذكاء و زيادة إدراكهم لمفاهيم الأشياء و طبيعة المواد\n\nمما يساعدهم على حل المسائل الحياتية والمشكلات\n\nغنية بالالوان لتجعل الطفل يتعلم التمييز\n\nمن عمر 6 سنوات\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"91","العاب سحرية وخدع بصرية امنة علي الاطفال\n\nخامة بلاستيك عالي الجودة تجعل الطفل ينبهر بالنتيجة\n\nوتنمي الذكاء ومهارات التفكير ومنح فرصه لتطوير المهارات الاجتماعية\n\nكما تزيد التعامل مع المخاطر والمواقف الجديدة وحل المشكلات\n\nيوجد كتالوج بطريقة لعبها\n\nمناسبة من سن 6 سنوات\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"92","خصم على المبتكر الصغير شكل بيوت 500 جرام\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"93","ميكانو بلاستيك فك وتركيب\n\n* لتعليم طفلك مبادئ الفك والتركيب بشكل محبب جدا لدي الاطفال\n\n* لتنميه الابداع والتخيل\n\n* وتقويه عضلات الايد\n\n* تزيد الثقه بالنفس عندما يصل للنتيجه الصحيحه بعد التركيب\n\n* تكسب الأطفال التركيز والانتباه والإرادة وزيادة إدراكهم لمفاهيم الأشياء وطبيعة المواد\n\n* مما يساعدهم على حل المسائل الحياتية والمشكلات\n\n* غنية بالالوان لتجعل الطفل يتعلم التمييز بين الالوان\n\n* من عمر 3 سنوات\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"94","كروت من لاينتمي\n\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"95","نول رائع للاطفال لعمل اي شكل بالصوف يمكن استخدامها بشكل دائم\n\nتعلم الطفل الاعتماد على النفس وتشجعه لتنمية مهاراته تنمي مهارة التحكم في العضلات الدقيقة ( الانامل ) .\n\nتنمي مهارة التنسيق بين العين واليد ( التآزر الحركي البصري ) .\n\nتنمي مهارة التحكم في مسك أدوات الكتابة ( القلم )\n\nتتبع مسار الشكل حتي لا يلون خارج اطار الشكل\n\nزيادة ثقته بنفسه عندما يجد الشكل مكتمل\n\nمناسبه للاطفال فرط الحركه وتقلل التوتر.\n\nيعلم الطفل استغلال الطاقة في حاجة مفيدة و ممتعه .\n\nيزود الحس الابداعي للطفل و استخدام الخيوط\n\nيتعلم فن اختيار الالوان ويتعلم اللضم واستخدام الخيوط\n\nمناسبة لسن 3 سنوات\n\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"96","مسار التهيئة للكتابه\nطرق الاستخدام\n\nالطريقة الأولى : اعطاء مسطرة واحده للطفل وكراسة رسم صغيرة ويقوم الطفل بالرسم داخل فراغ المسطرة حتى يتمكن من منحنياتها ثم اعطاؤه مسطرة اخرى ذات صعوبه اكبر .\n\nالطريقة الثانية : أن يقوم ولى الأمر برسم خطوط منقطه باستخدام المساطر على كراسة رسم و يترك الطفل ليقوم بوصل هذه الخطوط ببعضها من خلال الكتابه عليها وبذلك يكون الطفل وصل لمرحله متقدمه من الامساك والتحكم بالقلم .\n\nتستخدم لتهيئة يد الطفل لكتابة الحروف من خلال تعويده على المنحنيات التى سيواجهها عند كتابة الحروف.\n\nوتعويد الطفل على فكرة المتاهات maze فى اطار بسيط ويمكن استخدامها كإطار للكتابه فى معظم كراسات الأطفال الأكبر سنا لتجميل شكل الصفحه .\n\nويمكن استخدامها فى الاعمال الفنيه المختلفه\n\nمفيدة لتقوية عضلات يد الطفل والتدريب على الكتابه و الامساك بالقلم بشكل صحيح بتمرين يد الطفل على التحكم فى القلم واتباع الشكل المحدد يجعل الطفل متحكما بالقلم و مؤهلاً لاتباع الاتجاهات التى سيكتب بها الحروف فيما بعد\n\nمهمه للحضانات والاخصائيين ومراكز التخاطب لتاسيس الاطفال\n\nتناسب سن سنتين\n\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"97","كتاب بازل خشب\n\nمن افضل الالعاب التي تجذب الطفل\n\nتنمي مهاره الفك والتركيب\n\nتنسق بين اليد والعين من خلال التنسيق بين اجزاء البازل\n\nتنمي المهارات الذهنيه وتطور قدرته علي التخيل والتركيز والتفكير المنطقي وتنمي الذاكرة وتساعده علي الصبر والثقة بالنفس وحل المشكلات\n\nخامة : خشب تتحمل استخدام الطفل\n\nسن : 3 سنوات\n\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"98","مجموعة بطاقات اكتب وامسح 45 كارت مقسمه مجموعات :\n\nبطاقات الضرب التعليميه\n\nبطاقات القسمه التعليميه\n\nبطاقات الطرح التعليميه\n\nبطاقات الجمع التعليميه\n\nمناسبه للاطفال فوق سن الثالثه\n\nتساعد علي تطوير المهارات العمليات الحسابية\n\nتوضح عمليات الحسابيه بطريقه سهله الفهم ليتدربوا عليها باستمرار\n\nصممت بحيث تمكن الاطفال من استخدامها بمفردهم\n\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"99","ليجو\nقطع صغيره بلاستيكيه يقوم بتركيبها لتكوين اشكال ثلاثيه الابعاد لتعليم طفلك مبادئ الفك والتركيب\n\nو لتنميه الابداع والتخيل والمغامرة وتقويه عضلات الايد\n\nمتوفرة باشكال مختلفه للبنات والاولاد محببة جدا لدي الاطفال\n\nتزيد الثقه بالنفس عندما يصل للنتيجه الصحيحه بعد التركيب\n\nيعود الطفل علي التفكير الثلاثي للابعاد ويعودهم علي اتباع التعليمات للوصول الي الحل\n\nو التنظيم و التخطيط الجيد و ينمي مهارات الحس حركية\n\nتكسب الأطفال التركيز والانتباه و الإرادة والذكاء و زيادة إدراكهم لمفاهيم الأشياء و طبيعة المواد\n\nمما يساعدهم على حل المسائل الحياتية والمشكلات\n\nغنية بالالوان لتجعل الطفل يتعلم التمييز\n\nمن عمر 6 سنوات\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"100","خصم على المبتكر الصغير 500 جرام مسامير\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"101","ميكانو بلاستيك فك وتركيب\n\n* لتعليم طفلك مبادئ الفك والتركيب بشكل محبب جدا لدي الاطفال\n\n* لتنميه الابداع والتخيل\n\n* وتقويه عضلات الايد\n\n* تزيد الثقه بالنفس عندما يصل للنتيجه الصحيحه بعد التركيب\n\n* تكسب الأطفال التركيز والانتباه والإرادة وزيادة إدراكهم لمفاهيم الأشياء وطبيعة المواد\n\n* مما يساعدهم على حل المسائل الحياتية والمشكلات\n\n* غنية بالالوان لتجعل الطفل يتعلم التمييز بين الالوان\n\n* من عمر 3 سنوات\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"102","كروت خورشيد ما الاختلاف\n\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"103","","‎الصفوة لتنمية المهارات‎ added an event."
"104","كتب Mind skills development\n\nاول سلسلة كتب لتنمية مهارات وقدرات الطفل مقسمة حسب الفئة العمرية من عمر سنتين وحتى 6سنوات\n\nمجموعة دراسية شاملة للتعليم والتى تعمل على تنمية الذكاء والطاقات الكامنة لدى الطفل\n\nوقام بتأليفها وتصميمها نخبة من علماء الأطفال التربويين طبقاً لأحدث المعايير التربوية العالمية\n\nوهى موجهة لتنمية عقول الأطفال فى هذه المرحلة العمرية الهامة وذلك من خلال التمارين والألعاب المسلية الموجودة داخل الكتب\n\nتم وضع الكتب بمستويات مختلفة فكل مرحلة عمرية تحتوى على 18 كتاب تدرس للطفل على مدار عام كامل.\n\nتناسب الحضانات ومراكز تنمية مهارات وللامهات\n\nلكل فئة عمرية اربع مستويات\n\nالمجموعه الاولي : عمر من 2 الي 3 سنوات\n\nMind : A1 , A2 , B1, B2\n\nMaze : A1 , A2 , B1, B2\n\nMath : A1 , A2 , B1, B2\n\nCraft : A1 , A2 , A3 ,B1, B2 , B3\n\nالمجموعه الثانيه : عمر من 3 الي 4 سنوات\n\nMind : A1 , A2 , B1, B2\n\nMaze : A1 , A2 , B1, B2\n\nMath : A1 , A2 , B1, B2\n\nCraft : A1 , A2 , A3 , B1, B2 , B3\n\nالمجموعه الثالثه : عمر من 4 الي 5 سنوات\n\nMind : A1 , A2 , B1, B2\n\nMath : A1 , A2 , B1, B2\n\nMaze : A1 , A2 , B1, B2\n\nCraft : A1 , A2 , A3 , B1, B2 , B3\n\nالمجموعه الرابعه : عمر من 5 الي 6 سنوات\n\nMind : A1 , A2 , B1, B2\n\nMath : A1 , A2 , B1, B2\n\nMaze : A1 , A2 , B1, B2\n\nCraft : A1 , A2 , A3 , B1, B2 , B3\n\nوتتكون من الكتب التالية :\n\n1/Mind :لتنمية القدرة على المقارنة والتميز والملاحظة وادراك الاشياء والتعرف على الاشياء الجديدة و اكتساب اللغة وغيراها من قدرات تشغيل الذهن\n\n2/ Maze : تنمية القدرة على الكتابة والملاحظة وزيادة الرغبة فى الدراسة وتمهيد لما قبل الكتابة والتركيز والتازر البصرى الحركى\n\n3/Math :للتعرف على الارقام والقيمة عددية واستيعاب ترتيبها وتنمية مهارات ماقبل الحساب\n\n4/Craft : تعليم كيفية استخدام مقص والتناسق بين حركة عين واليد والعقل وتنمية الخيال الابداعى والانتباة والتركيز وتنميه العضلات الدقيقه\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"105","بازل 1000 قطعه\nمن افضل الالعاب التي تنمي مهارة الفك والتركيب\n\nوالتنسيق بين اليد والعين من خلال التنسيق بين اجزاء البازل تنمي المهارات الذهنيه وتطور قدرته علي التخيل والذكاء والتركيز والذاكره تساعد علي تعلم الصبر والثقه بالنفس وحل المشكلات\n\nلسن 7 سنوات\n\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"106","ميكانو بلاستيك فك وتركيب\n\n* لتعليم طفلك مبادئ الفك والتركيب بشكل محبب جدا لدي الاطفال\n\n* لتنميه الابداع والتخيل\n\n* وتقويه عضلات الايد\n\n* تزيد الثقه بالنفس عندما يصل للنتيجه الصحيحه بعد التركيب\n\n* تكسب الأطفال التركيز والانتباه والإرادة وزيادة إدراكهم لمفاهيم الأشياء وطبيعة المواد\n\n* مما يساعدهم على حل المسائل الحياتية والمشكلات\n\n* غنية بالالوان لتجعل الطفل يتعلم التمييز بين الالوان\n\n* من عمر 3 سنوات\n\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"107","مجموعة طباعات الوان سفنج اشكال مختلفه جميله يقوم الطفل بوضعها في اللون ليطبع نفس الشكل في كراسته\n\nتعمل علي نضجه العصبي والتمهيد للكتابه\n\nتنمي مهارة التحكم في العضلات الدقيقة ( الانامل ) .\n\nتنمي مهارة التنسيق بين العين واليد ( التآزر الحركي البصري ) .\n\nتنمي مهارة التحكم في مسك أدوات الكتابة ( القلم )\n\nالتدريب علي الضغط بأصابع اليد على جسم صلب\n\nتدريب الطفل علي تلوين الصور\n\nيعلم الطفل استغلال الطاقة في حاجة مفيدة و ممتعه .\n\nيزود الحس الابداعي للطفل و استخدام الالوان .\n\nيتعلم الفرق بين الفرش والالوان و استخدامتها\n\nيتعلم خلط الالوان و فن اختيار الالوان و تنسيقها\n\nمناسبه لسن 3 سنوات\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"108","كروت خورشيد ما الخطأ\nhttp://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
